name,winning_perc_before_ko,winning_perc_after_ko
Cesar Arzamendia,0.0,0.0
Cezar Ferreira,0.75,0.5454545454545454
Chad Laprise,0.75,0.5
Chad Mendes,0.0,0.6363636363636364
Chael Sonnen,0.5,0.3333333333333333
Chan Sung Jung,0.5,0.5714285714285714
Chance Rencountre,0.5,0.0
Charles Byrd,0.5,0.0
Charles Oliveira,0.6666666666666666,0.75
Charles Rosa,0.4,0.375
Charlie Brenneman,0.3333333333333333,0.0
Charlie Ontiveros,0.0,0.0
Charlie Ward,0.0,0.0
Chas Skelly,0.6666666666666666,0.6666666666666666
Chase Hooper,0.5,1.0
Chase Sherman,0.0,0.3076923076923077
Che Mills,0.0,0.5
Cheick Kongo,0.0,0.5
Chidi Njokuani,0.6666666666666666,0.0
Chris Clements,0.3333333333333333,0.5
Chris Cope,0.0,0.0
Chris Daukaus,0.8,0.0
Chris Dempsey,0.0,0.3333333333333333
Chris Fishgold,0.0,0.3333333333333333
Chris Gruetzemacher,0.4,0.5
Chris Heatherly,0.0,0.0
Chris Indich,0.0,0.0
Chris Leben,0.0,0.0
Chris Weidman,0.8571428571428571,0.25
Chris de la Rocha,0.0,0.3333333333333333
Christian Morecraft,0.0,0.0
Christos Giagos,0.5,0.5
Claudio Puelles,0.0,0.8333333333333334
Claudio Ribeiro,0.0,0.5
Clay Collard,0.0,0.3333333333333333
Clay Guida,0.3333333333333333,0.47058823529411764
Clifford Starks,0.0,0.0
Clint Hester,0.8,0.0
Cody Brundage,0.5,0.0
Cody Donovan,0.5,0.0
Cody East,0.0,0.0
Cody Garbrandt,0.8571428571428571,0.3333333333333333
Cody McKenzie,0.5,0.5
Colby Covington,0.8333333333333334,0.6666666666666666
Collin Anglin,0.0,0.0
Colton Smith,0.5,0.0
Conor McGregor,0.7692307692307693,0.0
Constantinos Philippou,0.6,0.5
Corey Anderson,0.6666666666666666,0.6666666666666666
Court McGee,0.42857142857142855,0.36363636363636365
Craig White,0.0,0.0
Cristiane Justino,0.8333333333333334,1.0
Cristiano Marcello,0.0,0.3333333333333333
Cristina Stanciu,0.0,0.0
Cub Swanson,0.631578947368421,0.6666666666666666
Cung Le,0.6666666666666666,0.0
Curtis Blaydes,0.0,0.75
Cynthia Calvillo,0.6,0.0
Cyril Asker,0.0,0.5
Cyrille Diabate,0.6666666666666666,0.0
Da Woon Jung,0.6666666666666666,0.0
DaMarques Johnson,0.0,0.0
Dakota Bush,0.0,0.0
Dalcha Lungiambula,0.5,0.2
Damian Grabowski,0.0,0.0
Damian Stasiak,0.4,0.0
Damien Brown,0.5,0.0
Damir Hadzovic,0.0,0.5
Damon Jackson,0.2,0.6666666666666666
Dan Henderson,0.0,0.42857142857142855
Dan Hooker,0.6363636363636364,0.6
Dan Miller,0.5,0.0
Dan Moret,0.0,0.0
Dan Stittgen,0.0,0.0
Daniel Cormier,0.7857142857142857,0.0
Daniel Jolly,0.0,0.0
Daniel Kelly,0.6666666666666666,0.5714285714285714
Daniel Lacerda,0.0,0.0
Daniel Pineda,0.5,0.375
Daniel Rodriguez,0.7,0.0
Daniel Sarafian,0.3333333333333333,0.0
Daniel Spitz,0.3333333333333333,0.0
Daniel Teymur,0.2,0.0
Danilo Belluardo,0.0,0.0
Danilo Marques,0.6666666666666666,0.0
Danny Castillo,0.5,0.375
Danny Chavez,0.25,0.0
Danny Roberts,0.6666666666666666,0.45454545454545453
Darrell Horcher,0.0,0.3333333333333333
Darrell Montague,0.0,0.0
Darren Elkins,0.75,0.5789473684210527
Darren Stewart,0.35714285714285715,0.0
Darren Till,0.625,0.25
Darren Uyenoyama,0.5,0.0
Darrick Minner,0.5,0.0
Dave Herman,0.0,0.0
David Branch,0.5,0.3333333333333333
David Mitchell,0.5,0.0
David Zawada,0.0,0.3333333333333333
Deiveson Figueiredo,0.7142857142857143,0.0
Delson Heleno,0.0,0.0
Demian Maia,0.65,0.0
Denis Tiuliulin,0.25,0.0
Dennis Bermudez,0.7777777777777778,0.42857142857142855
Dennis Siver,0.6666666666666666,0.4
Denys Bondar,0.0,0.0
Dequan Townsend,0.0,0.0
Derek Brunson,0.6666666666666666,0.6666666666666666
Deron Winn,0.4,0.0
Derrick Krantz,0.0,0.0
Derrick Lewis,0.6666666666666666,0.6666666666666666
Devin Clark,0.0,0.5333333333333333
Devonte Smith,0.6666666666666666,0.3333333333333333
Dhiego Lima,0.0,0.4
Diego Brandao,0.6,0.5
Diego Ferreira,0.5,0.7
Diego Sanchez,0.375,0.5
Dmitrii Smoliakov,0.0,0.0
Dominic Waters,0.0,0.0
Dominick Cruz,0.6,0.6666666666666666
Dominick Reyes,0.75,0.0
Dominique Steele,0.0,0.25
Donald Cerrone,0.6666666666666666,0.5666666666666667
Dong Hyun Kim,0.0,0.7777777777777778
Dong Hyun Ma,0.0,0.42857142857142855
Dooho Choi,0.6,0.0
Douglas Silva de Andrade,0.5,0.6666666666666666
Drakkar Klose,0.7142857142857143,1.0
